序号,中文名称,英文名称,学名
105,湍鸭,Torrent Duck,Merganetta armata
106,距翅雁,Spur-winged Goose,Plectropterus gambensis
107,美洲瘤鸭,Comb Duck,Sarkidiornis sylvicola
108,瘤鸭,Knob-billed Duck,Sarkidiornis melanotos
109,蓝翅雁,Blue-winged Goose,Cyanochen cyanoptera
110,埃及雁,Egyptian Goose,Alopochen aegyptiaca
111,毛里求斯雁,Mauritius Sheldgoose,Alopochen mauritiana
112,留尼汪雁,Reunion Sheldgoose,Alopochen kervazoi
113,绿翅雁,Orinoco Goose,Neochen jubata
114,黑翅草雁,Andean Goose,Chloephaga melanoptera
115,斑胁草雁,Upland Goose,Chloephaga picta
116,白草雁,Kelp Goose,Chloephaga hybrida
117,灰头草雁,Ashy-headed Goose,Chloephaga poliocephala
118,棕头草雁,Ruddy-headed Goose,Chloephaga rubidiceps
119,白腹麻鸭,Raja Shelduck,Radjah radjah
120,翘鼻麻鸭,Common Shelduck,Tadorna tadorna
121,赤麻鸭,Ruddy Shelduck,Tadorna ferruginea
122,灰头麻鸭,South African Shelduck,Tadorna cana
123,棕胸麻鸭,Australian Shelduck,Tadorna tadornoides
124,黑胸麻鸭,Paradise Shelduck,Tadorna variegata
125,冠麻鸭,Crested Shelduck,Tadorna cristata
126,红耳鸭,Pink-eared Duck,Malacorhynchus membranaceus
127,花纹鸭,Salvadori's Teal,Salvadorina waigiuensis
128,疣鼻栖鸭,Muscovy Duck,Cairina moschata
129,白翅栖鸭,White-winged Duck,Asarcornis scutulata
130,黑头凫,Hartlaub's Duck,Pteronetta hartlaubii
131,林鸳鸯,Wood Duck,Aix sponsa
132,鸳鸯,Mandarin Duck,Aix galericulata
133,鬃林鸭,Maned Duck,Chenonetta jubata
134,厚嘴棉凫,African Pygmy Goose,Nettapus auritus
135,棉凫,Cotton Pygmy Goose,Nettapus coromandelianus
136,绿棉凫,Green Pygmy Goose,Nettapus pulchellus
137,巴西凫,Brazilian Teal,Amazonetta brasiliensis
138,环颈鸭,Ringed Teal,Callonetta leucophrys
139,冠鸭,Crested Duck,Lophonetta specularioides
140,铜翅鸭,Bronze-winged Duck,Speculanas specularis
141,花脸鸭,Baikal Teal,Sibirionetta formosa
142,白眉鸭,Garganey,Spatula querquedula
143,南非鸭,Hottentot Teal,Spatula hottentota
144,安第斯银鸭,Puna Teal,Spatula puna
145,银鸭,Silver Teal,Spatula versicolor
146,赤琵嘴鸭,Red Shoveler,Spatula platalea
147,桂红鸭,Cinnamon Teal,Spatula cyanoptera
148,蓝翅鸭,Blue-winged Teal,Spatula discors
149,褐顶琵嘴鸭,Cape Shoveler,Spatula smithii
150,黑顶琵嘴鸭,Australasian Shoveler,Spatula rhynchotis
151,琵嘴鸭,Northern Shoveler,Spatula clypeata
152,赤膀鸭,Gadwall,Mareca strepera
153,罗纹鸭,Falcated Duck,Mareca falcata
154,赤颈鸭,Eurasian Wigeon,Mareca penelope
155,黑白斑胸鸭,Chiloe Wigeon,Mareca sibilatrix
156,绿眉鸭,American Wigeon,Mareca americana
157,阿岛鸭,Amsterdam Wigeon,Mareca marecula
158,非洲黑鸭,African Black Duck,Anas sparsa
159,非洲黄嘴鸭,Yellow-billed Duck,Anas undulata
160,麻斑鸭,Meller's Duck,Anas melleri
161,太平洋黑鸭,Pacific Black Duck,Anas superciliosa
162,莱岛鸭,Laysan Duck,Anas laysanensis
163,夏威夷鸭,Hawaiian Duck,Anas wyvilliana
164,棕颈鸭,Philippine Duck,Anas luzonica
165,印缅斑嘴鸭,Indian Spot-billed Duck,Anas poecilorhyncha
166,斑嘴鸭,Eastern Spot-billed Duck,Anas zonorhyncha
167,绿头鸭,Mallard,Anas platyrhynchos
168,北美斑鸭,Mottled Duck,Anas fulvigula
169,北美黑鸭,American Black Duck,Anas rubripes
170,墨西哥鸭,Mexican Duck,Anas diazi
171,绿翅灰斑鸭,Cape Teal,Anas capensis
172,白脸针尾鸭,White-cheeked Pintail,Anas bahamensis
173,赤嘴鸭,Red-billed Teal,Anas erythrorhyncha
174,黄嘴针尾鸭,Yellow-billed Pintail,Anas georgica
175,凯岛针尾鸭,Eaton's Pintail,Anas eatoni
176,针尾鸭,Northern Pintail,Anas acuta
177,绿翅鸭,Eurasian Teal,Anas crecca
178,美洲绿翅鸭,Green-winged Teal,Anas carolinensis
179,黄嘴鸭,Yellow-billed Teal,Anas flavirostris
180,斑头鸭,Andean Teal,Anas andium
181,爪哇灰鸭,Sunda Teal,Anas gibberifrons
182,安岛灰鸭,Andaman Teal,Anas albogularis
183,毛里求斯鸭,Mascarene Teal,Anas theodori
