序号,中文名称,英文名称,学名
2756,火山金丝燕,Volcano Swiftlet,Aerodramus vulcanorum
2757,怀氏金丝燕,Whitehead's Swiftlet,Aerodramus whiteheadi
2758,裸腿金丝燕,Bare-legged Swiftlet,Aerodramus nuditarsus
2759,麦氏金丝燕,Mayr's Swiftlet,Aerodramus orientalis
2760,苔巢金丝燕,Mossy-nest Swiftlet,Aerodramus salangana
2761,纯色金丝燕,Uniform Swiftlet,Aerodramus vanikorensis
2762,阿美林金丝燕,Ameline Swiftlet,Aerodramus amelis
2763,帕劳金丝燕,Palau Swiftlet,Aerodramus pelewensis
2764,关岛金丝燕,Mariana Swiftlet,Aerodramus bartschi
2765,卡罗琳金丝燕,Island Swiftlet,Aerodramus inquietus
2766,塔岛金丝燕,Tahiti Swiftlet,Aerodramus leucophaeus
2767,库岛金丝燕,Atiu Swiftlet,Aerodramus sawtelli
2768,马克萨金丝燕,Marquesan Swiftlet,Aerodramus ocistus
2769,大金丝燕,Black-nest Swiftlet,Aerodramus maximus
2770,爪哇金丝燕,Edible-nest Swiftlet,Aerodramus fuciphagus
2771,戈氏金丝燕,Germain's Swiftlet,Aerodramus germani
2772,巴布亚金丝燕,Three-toed Swiftlet,Aerodramus papuensis
2773,珍雨燕,Scarce Swift,Schoutedenapus myoptilus
2774,*斯氏雨燕,Schouteden's Swift,Schoutedenapus schoutedeni
2775,菲律宾针尾雨燕,Philippine Spine-tailed Swift,Mearnsia picina
2776,新几内亚雨燕,Papuan Spine-tailed Swift,Mearnsia novaeguineae
2777,马岛雨燕,Madagascan Spinetail,Zoonavena grandidieri
2778,圣多美雨燕,Sao Tome Spinetail,Zoonavena thomensis
2779,白腰针尾雨燕,White-rumped Spinetail,Zoonavena sylvatica
2780,斑喉针尾雨燕,Mottled Spinetail,Telacanthura ussheri
2781,黑针尾雨燕,Black Spinetail,Telacanthura melanopygia
2782,银腰针尾雨燕,Silver-rumped Spinetail,Rhaphidura leucopygialis
2783,萨氏针尾雨燕,Sabine's Spinetail,Rhaphidura sabini
2784,白腹针尾雨燕,Cassin's Spinetail,Neafrapus cassini
2785,伯氏针尾雨燕,Böhm's Spinetail,Neafrapus boehmi
2786,白喉针尾雨燕,White-throated Needletail,Hirundapus caudacutus
2787,灰喉针尾雨燕,Silver-backed Needletail,Hirundapus cochinchinensis
2788,褐背针尾雨燕,Brown-backed Needletail,Hirundapus giganteus
2789,紫针尾雨燕,Purple Needletail,Hirundapus celebensis
2790,安岛雨燕,Lesser Antillean Swift,Chaetura martinica
2791,斑腰雨燕,Band-rumped Swift,Chaetura spinicaudus
2792,哥斯达黎加雨燕,Costa Rican Swift,Chaetura fumosa
2793,苍腰雨燕,Pale-rumped Swift,Chaetura egregia
2794,淡腰雨燕,Grey-rumped Swift,Chaetura cinereiventris
2795,沃氏雨燕,Vaux's Swift,Chaetura vauxi
2796,西氏雨燕,Sick's Swift,Chaetura meridionalis
2797,烟囱雨燕,Chimney Swift,Chaetura pelagica
2798,查氏雨燕,Chapman's Swift,Chaetura chapmani
2799,亚马逊雨燕,Mato Grosso Swift,Chaetura viridipennis
2800,短尾雨燕,Short-tailed Swift,Chaetura brachyura
2801,白喉雨燕,White-throated Swift,Aeronautes saxatalis
2802,白尾梢雨燕,White-tipped Swift,Aeronautes montivagus
2803,安第斯雨燕,Andean Swift,Aeronautes andecolus
2804,西印棕雨燕,Antillean Palm Swift,Tachornis phoenicobia
2805,侏棕雨燕,Pygmy Palm Swift,Tachornis furcata
2806,叉尾棕雨燕,Neotropical Palm Swift,Tachornis squamata
2807,大燕尾雨燕,Great Swallow-tailed Swift,Panyptila sanctihieronymi
2808,小燕尾雨燕,Lesser Swallow-tailed Swift,Panyptila cayennensis
2809,非洲棕雨燕,African Palm Swift,Cypsiurus parvus
2810,棕雨燕,Asian Palm Swift,Cypsiurus balasiensis
2811,高山雨燕,Alpine Swift,Tachymarptis melba
2812,杂斑雨燕,Mottled Swift,Tachymarptis aequatorialis
2813,亚氏雨燕,Cape Verde Swift,Apus alexandri
2814,普通楼燕,Common Swift,Apus apus
2815,纯色雨燕,Plain Swift,Apus unicolor
2816,尼安萨雨燕,Nyanza Swift,Apus niansae
2817,苍雨燕,Pallid Swift,Apus pallidus
2818,非洲黑雨燕,African Black Swift,Apus barbatus
2819,马岛黑雨燕,Malagasy Black Swift,Apus balstoni
2820,费岛黑雨燕,Fernando Po Swift,Apus sladeniae
2821,伯氏雨燕,Forbes-Watson's Swift,Apus berliozi
2822,布氏雨燕,Bradfield's Swift,Apus bradfieldi
2823,白腰雨燕,Pacific Swift,Apus pacificus
2824,青藏白腰雨燕,Salim Ali's Swift,Apus salimalii
2825,布莱氏雨燕,Blyth's Swift,Apus leuconyx
2826,印支白腰雨燕,Cook's Swift,Apus cooki
2827,暗背雨燕,Dark-rumped Swift,Apus acuticauda
2828,小雨燕,Little Swift,Apus affinis
2829,小白腰雨燕,House Swift,Apus nipalensis
2830,白眉雨燕,Horus Swift,Apus horus
2831,非洲白腰雨燕,White-rumped Swift,Apus caffer
2832,贝氏雨燕,Bates's Swift,Apus batesi
2833,锯嘴蜂鸟,Saw-billed Hermit,Ramphodon naevius
2834,白尾尖镰嘴蜂鸟,White-tipped Sicklebill,Eutoxeres aquila
2835,黄尾镰嘴蜂鸟,Buff-tailed Sicklebill,Eutoxeres condamini
2836,钩嘴铜色蜂鸟,Hook-billed Hermit,Glaucis dohrnii
2837,棕胸铜色蜂鸟,Rufous-breasted Hermit,Glaucis hirsutus
2838,铜色蜂鸟,Bronzy Hermit,Glaucis aeneus
2839,斑尾髭喉蜂鸟,Band-tailed Barbthroat,Threnetes ruckeri
2840,暗色髭喉蜂鸟,Sooty Barbthroat,Threnetes niger
2841,淡尾髭喉蜂鸟,Pale-tailed Barbthroat,Threnetes leucurus
2842,阔尾隐蜂鸟,Broad-tipped Hermit,Anopetia gounellei
2843,白须隐蜂鸟,White-whiskered Hermit,Phaethornis yaruqui
2844,绿隐蜂鸟,Green Hermit,Phaethornis guy
2845,白髯隐蜂鸟,White-bearded Hermit,Phaethornis hispidus
2846,西长尾隐蜂鸟,Long-billed Hermit,Phaethornis longirostris
2847,墨西哥隐蜂鸟,Mexican Hermit,Phaethornis mexicanus
2848,长尾隐蜂鸟,Long-tailed Hermit,Phaethornis superciliosus
2849,大嘴隐蜂鸟,Great-billed Hermit,Phaethornis malaris
2850,茶腹隐蜂鸟,Tawny-bellied Hermit,Phaethornis syrmatophorus
2851,凯氏隐蜂鸟,Koepcke's Hermit,Phaethornis koepckeae
2852,细嘴隐蜂鸟,Needle-billed Hermit,Phaethornis philippii
2853,直嘴隐蜂鸟,Straight-billed Hermit,Phaethornis bourcieri
2854,淡腹隐蜂鸟,Pale-bellied Hermit,Phaethornis anthophilus
2855,鳞喉隐蜂鸟,Scale-throated Hermit,Phaethornis eurynome
2856,普拉隐蜂鸟,Planalto Hermit,Phaethornis pretrei
2857,乌顶隐蜂鸟,Sooty-capped Hermit,Phaethornis augusti
2858,黄腹隐蜂鸟,Buff-bellied Hermit,Phaethornis subochraceus
2859,暗喉隐蜂鸟,Dusky-throated Hermit,Phaethornis squalidus
2860,斑喉隐蜂鸟,Streak-throated Hermit,Phaethornis rupurumii
2861,小隐蜂鸟,Little Hermit,Phaethornis longuemareus
2862,姬隐蜂鸟,Minute Hermit,Phaethornis idaliae
2863,红喉隐蜂鸟,Cinnamon-throated Hermit,Phaethornis nattereri
2864,红隐蜂鸟,Reddish Hermit,Phaethornis ruber
2865,白眉隐蜂鸟,White-browed Hermit,Phaethornis stuarti
2866,黑喉隐蜂鸟,Black-throated Hermit,Phaethornis atrimentalis
2867,塔河隐蜂鸟,Tapajos Hermit,Phaethornis aethopygus
2868,纹喉隐蜂鸟,Stripe-throated Hermit,Phaethornis striigularis
2869,灰颏隐蜂鸟,Grey-chinned Hermit,Phaethornis griseogularis
2870,齿嘴蜂鸟,Tooth-billed Hummingbird,Androdon aequatorialis
2871,绿额矛嘴蜂鸟,Green-fronted Lancebill,Doryfera ludovicae
2872,蓝额矛嘴蜂鸟,Blue-fronted Lancebill,Doryfera johannae
2873,鳞胸刀翅蜂鸟,Scaly-breasted Hummingbird,Phaeochroa cuvierii
2874,弯翅刀翅蜂鸟,Curve-winged Sabrewing,Pampa curvipennis
2875,楔尾刀翅蜂鸟,Wedge-tailed Sabrewing,Pampa pampa
2876,长尾刀翅蜂鸟,Long-tailed Sabrewing,Pampa excellens
2877,灰胸刀翅蜂鸟,Grey-breasted Sabrewing,Campylopterus largipennis
2878,棕刀翅蜂鸟,Rufous Sabrewing,Pampa rufa
2879,棕胸刀翅蜂鸟,Rufous-breasted Sabrewing,Campylopterus hyperythrus
2880,紫刀翅蜂鸟,Violet Sabrewing,Campylopterus hemileucurus
2881,白尾刀翅蜂鸟,White-tailed Sabrewing,Campylopterus ensipennis
2882,棕尾刀翅蜂鸟,Lazuline Sabrewing,Campylopterus falcatus
2883,圣马刀翅蜂鸟,Santa Marta Sabrewing,Campylopterus phainopeplus
2884,那波刀翅蜂鸟,Napo Sabrewing,Campylopterus villaviscensio
2885,黄胸刀翅蜂鸟,Buff-breasted Sabrewing,Campylopterus duidae
2886,暗色刀翅蜂鸟,Sombre Hummingbird,Eupetomena cirrochloris
2887,燕尾刀翅蜂鸟,Swallow-tailed Hummingbird,Eupetomena macroura
2888,白颈蜂鸟,White-necked Jacobin,Florisuga mellivora
2889,黑蜂鸟,Black Jacobin,Florisuga fusca
2890,褐紫耳蜂鸟,Brown Violetear,Colibri delphinae
2891,绿紫耳蜂鸟,Mexican Violetear,Colibri thalassinus
2892,小紫耳蜂鸟,Lesser Violetear,Colibri cyanotus
2893,辉紫耳蜂鸟,Sparkling Violetear,Colibri coruscans
2894,白腹紫耳蜂鸟,White-vented Violetear,Colibri serrirostris
2895,绿喉芒果蜂鸟,Green-throated Mango,Anthracothorax viridigula
2896,绿胸芒果蜂鸟,Green-breasted Mango,Anthracothorax prevostii
2897,黑喉芒果蜂鸟,Black-throated Mango,Anthracothorax nigricollis
2898,巴拿马芒果蜂鸟,Veraguan Mango,Anthracothorax veraguensis
2899,黑胸芒果蜂鸟,Antillean Mango,Anthracothorax dominicus
2900,绿芒果蜂鸟,Green Mango,Anthracothorax viridis
2901,牙买加芒果蜂鸟,Jamaican Mango,Anthracothorax mango
2902,翘嘴蜂鸟,Fiery-tailed Awlbill,Avocettula recurvirostris
2903,赤叉尾蜂鸟,Crimson Topaz,Topaza pella
2904,火红叉尾蜂鸟,Fiery Topaz,Topaza pyra
2905,紫喉蜂鸟,Purple-throated Carib,Eulampis jugularis
2906,绿喉蜂鸟,Green-throated Carib,Eulampis holosericeus
2907,金喉红顶蜂鸟,Ruby-topaz Hummingbird,Chrysolampis mosquitus
2908,凤头蜂鸟,Antillean Crested Hummingbird,Orthorhyncus cristatus
2909,紫头蜂鸟,Violet-headed Hummingbird,Klais guimeti
2910,紫胸凤头蜂鸟,Green-crowned Plovercrest,Stephanoxis lalandi
2911,紫冠黑胸蜂鸟,Purple-crowned Plovercrest,Stephanoxis loddigesii
2912,翠颏蜂鸟,Emerald-chinned Hummingbird,Abeillia abeillei
2913,缨冠蜂鸟,Tufted Coquette,Lophornis ornatus
2914,斑耳冠蜂鸟,Dot-eared Coquette,Lophornis gouldii
2915,纹颈冠蜂鸟,Frilled Coquette,Lophornis magnificus
2916,短冠蜂鸟,Short-crested Coquette,Lophornis brachylophus
2917,棕冠蜂鸟,Rufous-crested Coquette,Lophornis delattrei
2918,斑冠蜂鸟,Spangled Coquette,Lophornis stictolophus
2919,极乐冠蜂鸟,Festive Coquette,Lophornis chalybeus
2920,孔雀冠蜂鸟,Peacock Coquette,Lophornis pavoninus
2921,黑冠蜂鸟,Black-crested Coquette,Lophornis helenae
2922,白冠蜂鸟,White-crested Coquette,Lophornis adorabilis
2923,翎冠刺尾蜂鸟,Wire-crested Thorntail,Discosura popelairii
2924,黑腹刺尾蜂鸟,Black-bellied Thorntail,Discosura langsdorffi
2925,铜色刺尾蜂鸟,Letitia's Thorntail,Discosura letitiae
2926,绿刺尾蜂鸟,Green Thorntail,Discosura conversii
2927,扇尾蜂鸟,Racket-tailed Coquette,Discosura longicaudus
2928,红嘴长尾蜂鸟,Red-billed Streamertail,Trochilus polytmus
2929,黑嘴长尾蜂鸟,Black-billed Streamertail,Trochilus scitulus
2930,蓝颏青蜂鸟,Blue-chinned Sapphire,Chlorestes notata
2931,金腹翠蜂鸟,Golden-crowned Emerald,Cynanthus auriceps
2932,科苏梅尔翠蜂鸟,Cozumel Emerald,Cynanthus forficatus
2933,卡氏翠蜂鸟,Canivet's Emerald,Cynanthus canivetii
2934,花园翠蜂鸟,Garden Emerald,Chlorostilbon assimilis
2935,蓝尾翠蜂鸟,Blue-tailed Emerald,Chlorostilbon mellisugus
2936,西翠蜂鸟,Western Emerald,Chlorostilbon melanorhynchus
2937,红嘴翠蜂鸟,Red-billed Emerald,Chlorostilbon gibsoni
2938,奇里翠蜂鸟,Chiribiquete Emerald,Chlorostilbon olivaresi
2939,辉腹翠蜂鸟,Glittering-bellied Emerald,Chlorostilbon lucidus
2940,古尔德翠蜂鸟,Gould's Emerald,Riccordia elegans
2941,布雷氏翠蜂鸟,Brace's Emerald,Riccordia bracei
2942,古巴翠蜂鸟,Cuban Emerald,Riccordia ricordii
2943,中美翠蜂鸟,Hispaniolan Emerald,Riccordia swainsonii
2944,波多翠蜂鸟,Puerto Rican Emerald,Riccordia maugaeus
2945,铜色翠蜂鸟,Coppery Emerald,Chlorostilbon russatus
2946,狭尾翠蜂鸟,Narrow-tailed Emerald,Chlorostilbon stenurus
2947,绿尾翠蜂鸟,Green-tailed Emerald,Chlorostilbon alice
2948,短尾翠蜂鸟,Short-tailed Emerald,Chlorostilbon poortmani
2949,火喉蜂鸟,Fiery-throated Hummingbird,Panterpe insignis
2950,白尾丽蜂鸟,White-tailed Emerald,Microchera chionura
2951,铜头丽蜂鸟,Coppery-headed Emerald,Microchera cupreiceps
2952,蓝顶蜂鸟,Oaxaca Hummingbird,Eupherusa cyanophrys
2953,白尾蜂鸟,White-tailed Hummingbird,Eupherusa poliocerca
2954,纹尾蜂鸟,Stripe-tailed Hummingbird,Eupherusa eximia
2955,黑腹蜂鸟,Black-bellied Hummingbird,Eupherusa nigriventris
2956,棕颊蜂鸟,Pirre Hummingbird,Goldmania bella
2957,紫顶蜂鸟,Violet-capped Hummingbird,Goldmania violiceps
2958,暗阔嘴蜂鸟,Dusky Hummingbird,Phaeoptila sordida
2959,阔嘴蜂鸟,Broad-billed Hummingbird,Cynanthus latirostris
2960,双日阔嘴蜂鸟,Doubleday's Hummingbird,Cynanthus doubledayi
2961,蓝头蜂鸟,Blue-headed Hummingbird,Riccordia bicolor
2962,墨西哥妍蜂鸟,Mexican Woodnymph,Eupherusa ridgwayi
2963,蓝顶妍蜂鸟,Crowned Woodnymph,Thalurania colombica
2964,叉尾妍蜂鸟,Fork-tailed Woodnymph,Thalurania furcata
2965,长尾妍蜂鸟,Long-tailed Woodnymph,Thalurania watertonii
2966,紫顶妍蜂鸟,Violet-capped Woodnymph,Thalurania glaucopis
2967,紫腹蜂鸟,Violet-bellied Hummingbird,Chlorestes julie
2968,青喉蜂鸟,Sapphire-throated Hummingbird,Chrysuronia coeruleogularis
2969,青腹蜂鸟,Sapphire-bellied Hummingbird,Chrysuronia lilliae
2970,辉绿蜂鸟,Shining-green Hummingbird,Chrysuronia goudoti
2971,蓝喉红嘴蜂鸟,Blue-throated Sapphire,Chlorestes eliciae
2972,棕喉红嘴蜂鸟,Rufous-throated Sapphire,Hylocharis sapphirina
2973,白颊红嘴蜂鸟,White-chinned Sapphire,Chlorestes cyanus
2974,金红嘴蜂鸟,Gilded Sapphire,Hylocharis chrysura
2975,蓝头红嘴蜂鸟,Blue-headed Sapphire,Chrysuronia grayi
2976,洪氏红嘴蜂鸟,Humboldt's Sapphire,Chrysuronia humboldtii
2977,金尾蜂鸟,Golden-tailed Sapphire,Chrysuronia oenone
2978,白喉蜂鸟,White-throated Hummingbird,Leucochloris albicollis
2979,白尾金喉蜂鸟,White-tailed Goldenthroat,Polytmus guainumbi
2980,黑嘴金喉蜂鸟,Tepui Goldenthroat,Polytmus milleri
2981,绿尾金喉蜂鸟,Green-tailed Goldenthroat,Polytmus theresiae
2982,淡黄蜂鸟,Buffy Hummingbird,Leucippus fallax
2983,秘鲁蜂鸟,Tumbes Hummingbird,Thaumasius baeri
2984,斑喉蜂鸟,Spot-throated Hummingbird,Thaumasius taczanowskii
2985,绿斑蜂鸟,Olive-spotted Hummingbird,Talaphorus chlorocercus
2986,点斑蜂鸟,Many-spotted Hummingbird,Taphrospilus hypostictus
2987,白腹蜂鸟,White-bellied Hummingbird,Elliotomyia chionogaster
2988,绿尾蜂鸟,Green-and-white Hummingbird,Elliotomyia viridicauda
2989,桂红蜂鸟,Cinnamon Hummingbird,Amazilia rutila
2990,棕腹蜂鸟,Buff-bellied Hummingbird,Amazilia yucatanensis
2991,棕尾蜂鸟,Rufous-tailed Hummingbird,Amazilia tzacatl
2992,栗腹蜂鸟,Chestnut-bellied Hummingbird,Saucerottia castaneiventris
2993,艳蜂鸟,Amazilia Hummingbird,Amazilis amazilia
2994,纯腹蜂鸟,Plain-bellied Emerald,Chrysuronia leucogaster
2995,虹彩蜂鸟,Versicolored Emerald,Chrysuronia versicolor
2996,白胸蜂鸟,White-chested Emerald,Chrysuronia brevirostris
2997,安第斯蜂鸟,Andean Emerald,Uranomitra franciae
2998,白腹绿蜂鸟,White-bellied Emerald,Chlorestes candida
2999,红嘴蜂鸟,Azure-crowned Hummingbird,Saucerottia cyanocephala
3000,紫冠蜂鸟,Violet-crowned Hummingbird,Leucolia violiceps
3001,绿额蜂鸟,Green-fronted Hummingbird,Leucolia viridifrons
3002,栗胁蜂鸟,Cinnamon-sided Hummingbird,Leucolia wagneri
3003,辉喉蜂鸟,Glittering-throated Emerald,Chionomesa fimbriata
3004,蓝喉蜂鸟,Sapphire-spangled Emerald,Chionomesa lactea
3005,蓝胸蜂鸟,Blue-chested Hummingbird,Polyerata amabilis
3006,娇蜂鸟,Charming Hummingbird,Polyerata decora
3007,紫胸蜂鸟,Purple-chested Hummingbird,Polyerata rosenbergi
3008,红树林蜂鸟,Mangrove Hummingbird,Amazilia boucardi
3009,洪都拉斯蜂鸟,Honduran Emerald,Amazilia luciae
3010,灰腹蜂鸟,Steely-vented Hummingbird,Saucerottia saucerottei
3011,青顶蜂鸟,Indigo-capped Hummingbird,Saucerottia cyanifrons
3012,雪胸蜂鸟,Snowy-bellied Hummingbird,Saucerottia edward
3013,绿蜂鸟,Berylline Hummingbird,Saucerottia beryllina
3014,蓝尾蜂鸟,Blue-tailed Hummingbird,Saucerottia cyanura
3015,蓝臀蜂鸟,Blue-vented Hummingbird,Saucerottia hoffmanni
3016,绿腹蜂鸟,Green-bellied Hummingbird,Saucerottia viridigaster
3017,铜色腰蜂鸟,Copper-rumped Hummingbird,Saucerottia tobaci
3018,白顶蜂鸟,Snowcap,Microchera albocoronata
3019,花顶蜂鸟,Santa Marta Blossomcrown,Anthocephala floriceps
3020,托利马花顶蜂鸟,Tolima Blossomcrown,Anthocephala berlepschi
3021,白腹棕尾蜂鸟,White-vented Plumeleteer,Chalybura buffonii
3022,斑胸棕尾蜂鸟,Bronze-tailed Plumeleteer,Chalybura urochrysia
3023,蓝喉宝石蜂鸟,Blue-throated Mountaingem,Lampornis clemenciae
3024,辉紫喉宝石蜂鸟,Amethyst-throated Mountaingem,Lampornis amethystinus
3025,绿喉宝石蜂鸟,Green-throated Mountaingem,Lampornis viridipallens
3026,绿胸宝石蜂鸟,Green-breasted Mountaingem,Lampornis sybillae
3027,白腹宝石蜂鸟,White-bellied Mountaingem,Lampornis hemileucus
3028,紫喉宝石蜂鸟,Purple-throated Mountaingem,Lampornis calolaemus
3029,白喉宝石蜂鸟,White-throated Mountaingem,Lampornis castaneoventris
3030,灰尾宝石蜂鸟,Grey-tailed Mountaingem,Lampornis cinereicauda
3031,赞氏蜂鸟,Xantus's Hummingbird,Basilinna xantusii
3032,白耳蜂鸟,White-eared Hummingbird,Basilinna leucotis
3033,红喉蜂鸟,Garnet-throated Hummingbird,Lamprolaima rhami
3034,鳞斑蜂鸟,Speckled Hummingbird,Adelomyia melanogenys
3035,厄瓜多尔斑尾蜂鸟,Ecuadorian Piedtail,Phlogophilus hemileucurus
3036,秘鲁斑尾蜂鸟,Peruvian Piedtail,Phlogophilus harterti
3037,红玉蜂鸟,Brazilian Ruby,Clytolaema rubricauda
3038,黑眉辉蜂鸟,Velvet-browed Brilliant,Heliodoxa xanthogonys
3039,粉喉辉蜂鸟,Pink-throated Brilliant,Heliodoxa gularis
3040,棕甲辉蜂鸟,Rufous-webbed Brilliant,Heliodoxa branickii
3041,黑喉辉蜂鸟,Black-throated Brilliant,Heliodoxa schreibersii
3042,古氏蜂鸟,Gould's Jewelfront,Heliodoxa aurescens
3043,棕胸辉蜂鸟,Fawn-breasted Brilliant,Heliodoxa rubinoides
3044,绿顶辉蜂鸟,Green-crowned Brilliant,Heliodoxa jacula
3045,皇辉蜂鸟,Empress Brilliant,Heliodoxa imperatrix
3046,紫额辉蜂鸟,Violet-fronted Brilliant,Heliodoxa leadbeateri
3047,大蜂鸟,Rivoli's Hummingbird,Eugenes fulgens
3048,高地大蜂鸟,Talamanca Hummingbird,Eugenes spectabilis
3049,剪尾蜂鸟,Scissor-tailed Hummingbird,Hylonympha macrocerca
3050,紫罗兰胸蜂鸟,Violet-chested Hummingbird,Sternoclyta cyanopectus
3051,白尾蓝胸蜂鸟,Rufous-gaped Hillstar,Urochroa bougueri
3052,黄尾冕蜂鸟,Buff-tailed Coronet,Boissonneaua flavescens
3053,栗胸冕蜂鸟,Chestnut-breasted Coronet,Boissonneaua matthewsii
3054,紫冕蜂鸟,Velvet-purple Coronet,Boissonneaua jardini
3055,闪羽蜂鸟,Shining Sunbeam,Aglaeactis cupripennis
3056,紫背闪羽蜂鸟,Purple-backed Sunbeam,Aglaeactis aliciae
3057,辉胸闪羽蜂鸟,White-tufted Sunbeam,Aglaeactis castelnaudii
3058,黑头闪羽蜂鸟,Black-hooded Sunbeam,Aglaeactis pamela
3059,紫巾山蜂鸟,Ecuadorian Hillstar,Oreotrochilus chimborazo
3060,安第斯山蜂鸟,Andean Hillstar,Oreotrochilus estella
3061,白胁山蜂鸟,White-sided Hillstar,Oreotrochilus leucopleurus
3062,黑胸山蜂鸟,Black-breasted Hillstar,Oreotrochilus melanogaster
3063,楔尾山蜂鸟,Wedge-tailed Hillstar,Oreotrochilus adela
3064,绒胸蜂鸟,Mountain Velvetbreast,Lafresnaya lafresnayi
3065,铜色星额蜂鸟,Bronzy Inca,Coeligena coeligena
3066,褐星额蜂鸟,Brown Inca,Coeligena wilsoni
3067,黑星额蜂鸟,Black Inca,Coeligena prunellei
3068,领星额蜂鸟,Collared Inca,Coeligena torquata
3069,白尾星额蜂鸟,White-tailed Starfrontlet,Coeligena phalerata
3070,金腹星额蜂鸟,Golden-bellied Starfrontlet,Coeligena bonapartei
3071,暗星额蜂鸟,Dusky Starfrontlet,Coeligena orina
3072,蓝喉星额蜂鸟,Blue-throated Starfrontlet,Coeligena helianthea
3073,黄翅星额蜂鸟,Buff-winged Starfrontlet,Coeligena lutetiae
3074,紫喉星额蜂鸟,Violet-throated Starfrontlet,Coeligena violifer
3075,彩虹星额蜂鸟,Rainbow Starfrontlet,Coeligena iris
3076,剑嘴蜂鸟,Sword-billed Hummingbird,Ensifera ensifera
3077,蓝翅大蜂鸟,Great Sapphirewing,Pterophanes cyanopterus
3078,巨蜂鸟,Giant Hummingbird,Patagona gigas
3079,绿背火冠蜂鸟,Green-backed Firecrown,Sephanoides sephaniodes
3080,火冠蜂鸟,Juan Fernandez Firecrown,Sephanoides fernandensis
3081,橙喉领蜂鸟,Orange-throated Sunangel,Heliangelus mavors
3082,辉喉领蜂鸟,Amethyst-throated Sunangel,Heliangelus amethysticollis
3083,龙氏领蜂鸟,Longuemare's Sunangel,Heliangelus clarisse
3084,梅里达领蜂鸟,Merida Sunangel,Heliangelus spencei
3085,领蜂鸟,Gorgeted Sunangel,Heliangelus strophianus
3086,暗绿领蜂鸟,Tourmaline Sunangel,Heliangelus exortis
3087,小领蜂鸟,Flame-throated Sunangel,Heliangelus micraster
3088,紫喉领蜂鸟,Purple-throated Sunangel,Heliangelus viola
3089,皇领蜂鸟,Royal Sunangel,Heliangelus regalis
3090,黑胸毛腿蜂鸟,Black-breasted Puffleg,Eriocnemis nigrivestis
3091,饰颈毛腿蜂鸟,Gorgeted Puffleg,Eriocnemis isabellae
3092,紫颏毛腿蜂鸟,Glowing Puffleg,Eriocnemis vestita
3093,黑脚毛腿蜂鸟,Black-thighed Puffleg,Eriocnemis derbyi
3094,绿喉毛腿蜂鸟,Turquoise-throated Puffleg,Eriocnemis godini
3095,铜腹毛腿蜂鸟,Coppery-bellied Puffleg,Eriocnemis cupreoventris
3096,蓝臀毛腿蜂鸟,Sapphire-vented Puffleg,Eriocnemis luciani
3097,金胸毛腿蜂鸟,Golden-breasted Puffleg,Eriocnemis mosquera
3098,蓝顶毛腿蜂鸟,Blue-capped Puffleg,Eriocnemis glaucopoides
3099,彩毛腿蜂鸟,Colorful Puffleg,Eriocnemis mirabilis
3100,翠腹毛腿蜂鸟,Emerald-bellied Puffleg,Eriocnemis aline
3101,淡绿蓬腿蜂鸟,Greenish Puffleg,Haplophaedia aureliae
3102,黄腿蓬腿蜂鸟,Buff-thighed Puffleg,Haplophaedia assimilis
3103,苍蓬腿蜂鸟,Hoary Puffleg,Haplophaedia lugens
3104,白尾梢蜂鸟,Purple-bibbed Whitetip,Urosticte benjamini
3105,棕臀白尾梢蜂鸟,Rufous-vented Whitetip,Urosticte ruficrissa
3106,盘尾蜂鸟,White-booted Racket-tail,Ocreatus underwoodii
3107,秘鲁盘尾蜂鸟,Peruvian Racket-tail,Ocreatus peruanus
3108,棕靴盘尾蜂鸟,Rufous-booted Racket-tail,Ocreatus addae
3109,黑带尾蜂鸟,Black-tailed Trainbearer,Lesbia victoriae
3110,绿带尾蜂鸟,Green-tailed Trainbearer,Lesbia nuna
3111,红尾慧星蜂鸟,Red-tailed Comet,Sappho sparganurus
3112,铜尾彗星蜂鸟,Bronze-tailed Comet,Polyonymus caroli
3113,黑背刺嘴蜂鸟,Black-backed Thornbill,Ramphomicron dorsale
3114,紫背刺嘴蜂鸟,Purple-backed Thornbill,Ramphomicron microrhynchum
3115,须蜂鸟,Bearded Mountaineer,Oreonympha nobilis
3116,髯蜂鸟,Green-bearded Helmetcrest,Oxypogon guerinii
3117,蓝髯蜂鸟,Blue-bearded Helmetcrest,Oxypogon cyanolaemus
3118,白髯蜂鸟,White-bearded Helmetcrest,Oxypogon lindenii
3119,棕髯蜂鸟,Buffy Helmetcrest,Oxypogon stuebelii
3120,紫辉尾蜂鸟,Tyrian Metaltail,Metallura tyrianthina
3121,佩里辉尾蜂鸟,Perija Metaltail,Metallura iracunda
3122,翠绿辉尾蜂鸟,Viridian Metaltail,Metallura williami
3123,紫喉辉尾蜂鸟,Violet-throated Metaltail,Metallura baroni
3124,涅比辉尾蜂鸟,Neblina Metaltail,Metallura odomae
3125,铜辉尾蜂鸟,Coppery Metaltail,Metallura theresiae
3126,火喉辉尾蜂鸟,Fiery-throated Metaltail,Metallura eupogon
3127,鳞辉尾蜂鸟,Scaled Metaltail,Metallura aeneocauda
3128,黑辉尾蜂鸟,Black Metaltail,Metallura phoebe
3129,棕顶尖嘴蜂鸟,Rufous-capped Thornbill,Chalcostigma ruficeps
